table_name	col_name	data_type
CLINICALTRIALS	nctid	string
CLINICALTRIALS	title	string
CLINICALTRIALS	phase	string
CLINICALTRIALS	matches	string
CLINICALTRIALS	interventions	string
CLINICALTRIALS	tempusId	string
CLINICALTRIALS	reportId	string
CLINICALTRIALS_V2	notes	string
CLINICALTRIALS_V2	nctId	string
CLINICALTRIALS_V2	nctUrl	string
CLINICALTRIALS_V2	phase	string
CLINICALTRIALS_V2	title	string
CLINICALTRIALS_V2	matches_variants	string
CLINICALTRIALS_V2	matches_tmb	string
CLINICALTRIALS_V2	matches_msi	string
CLINICALTRIALS_V2	facility_city	string
CLINICALTRIALS_V2	facility_state	string
CLINICALTRIALS_V2	facility_distanceFromInstitution_value	string
CLINICALTRIALS_V2	facility_distanceFromInstitution_distanceUnit	string
CLINICALTRIALS_V2	tempusId	string
CLINICALTRIALS_V2	reportId	string
CLINICALTRIALSINTERVENTIONS	type	string
CLINICALTRIALSINTERVENTIONS	agent	string
CLINICALTRIALSINTERVENTIONS	details	string
CLINICALTRIALSINTERVENTIONS	tempusId	string
CLINICALTRIALSINTERVENTIONS	reportId	string
CONFIG_MAIN	id	bigint
CONFIG_MAIN	run_type	string
CONFIG_MAIN	run_start_date	timestamp
CONFIG_MAIN	run_end_date	timestamp
CONFIG_MAIN	last_run_date	date
CONFIG_MAIN	last_run_ts	timestamp
CTDNA_V2	disclaimer	string
CTDNA_V2	code	string
CTDNA_V2	system	string
CTDNA_V2	quantity_amount	string
CTDNA_V2	quantity_system	string
CTDNA_V2	quantity_code	string
CTDNA_V2	quantity_comparator_code	string
CTDNA_V2	quantity_comparator_system	string
CTDNA_V2	quantity_comparator_display	string
CTDNA_V2	quantity_unitofmeasurement_code	string
CTDNA_V2	quantity_unitofmeasurement_system	string
CTDNA_V2	quantity_unitofmeasurement_display	string
CTDNA_V2	tempusId	string
CTDNA_V2	reportId	string
CUSTOMFIELDS_V2	protocolId	string
CUSTOMFIELDS_V2	visitId	string
CUSTOMFIELDS_V2	studyId	string
CUSTOMFIELDS_V2	tempusId	string
CUSTOMFIELDS_V2	reportId	string
FUSIONVARIANTS	gene5	string
FUSIONVARIANTS	gene5Display	string
FUSIONVARIANTS	gene5hgncId	string
FUSIONVARIANTS	gene5entrezId	string
FUSIONVARIANTS	gene3	string
FUSIONVARIANTS	gene3Display	string
FUSIONVARIANTS	gene3hgncId	string
FUSIONVARIANTS	gene3entrezId	string
FUSIONVARIANTS	variantDescription	string
FUSIONVARIANTS	geneDescription	string
FUSIONVARIANTS	fusionType	string
FUSIONVARIANTS	structuralVariant	string
FUSIONVARIANTS	tempusOrderId	string
FUSIONVARIANTS	accessionId	string
FUSIONVARIANTS	test_code	string
FUSIONVARIANTS	test_name	string
FUSIONVARIANTS	tempusId	string
FUSIONVARIANTS_THERAPIES	therapy	string
FUSIONVARIANTS_THERAPIES	drugClass	string
FUSIONVARIANTS_THERAPIES	tissue	string
FUSIONVARIANTS_THERAPIES	evidenceType	string
FUSIONVARIANTS_THERAPIES	association	string
FUSIONVARIANTS_THERAPIES	status	string
FUSIONVARIANTS_THERAPIES	url	string
FUSIONVARIANTS_THERAPIES	pubMedId	string
FUSIONVARIANTS_THERAPIES	fdaApproved	boolean
FUSIONVARIANTS_THERAPIES	isOnLabel	boolean
FUSIONVARIANTS_THERAPIES	tempusOrderId	string
FUSIONVARIANTS_THERAPIES	accessionId	string
FUSIONVARIANTS_THERAPIES	test_code	string
FUSIONVARIANTS_THERAPIES	test_name	string
FUSIONVARIANTS_THERAPIES	tempusId	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_V2	notes	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_V2	variants	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_V2	tempusId	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_V2	reportId	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	variantType	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	gene	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	geneDescription	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	display	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	hgncId	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	entrezId	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	gene3	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	gene3Display	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	gene3HgncId	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	gene3EntrezId	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	gene5	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	gene5Display	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	gene5HgncId	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	gene5EntrezId	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	variantDescription	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	pVar	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	cVar	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	transcript_code	string
GENOMICVARIANTS_BIOLOGICALLYRELEVANT_VARIANTS_DETAILS_V2	transcript_system	string
